state_ut,development,status,development_type,notes
Andhra Pradesh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Arunachal Pradesh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Assam,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Bihar,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Chhattisgarh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Goa,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Gujarat,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Haryana,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Himachal Pradesh,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Jharkhand,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Karnataka,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
Kerala,State/city economic and infrastructure pipeline,Live / In progress / Planned,Composite tracker,"Use this layer to add verified sources for industrial parks, highways, airports, metro, water supply, and master-plan changes."
