state_ut,rank_in_state,city_town,market_tier,current_low_psf,current_high_psf,bear_cagr_pct,base_cagr_pct,bull_cagr_pct,base_2030_low_psf,base_2030_high_psf,water_score_10,water_risk,economic_engine,infra_drivers,live_developments,in_progress_developments,planned_future_developments,key_checks,investment_view
Andhra Pradesh,1,Visakhapatnam,Large growth city,4000,10800,5.5,8.0,11.0,5400,14700,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,2,Vijayawada,Large growth city,4000,10800,5.5,8.0,11.0,5400,14700,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,3,Guntur,Large growth city,4000,10800,5.5,8.0,11.0,5400,14700,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,4,Tirupati,Mid-size city,2200,6300,4.5,7.0,10.0,2900,8300,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,5,Nellore,Mid-size city,2200,6300,4.5,7.0,10.0,2900,8300,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,6,Kurnool,Mid-size city,2200,6300,4.5,7.0,10.0,2900,8300,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,7,Rajahmundry,Emerging town,1100,3800,4.0,6.5,9.5,1400,4900,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,8,Kakinada,Emerging town,1100,3800,4.0,6.5,9.5,1400,4900,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,9,Anantapur,Emerging town,1100,3800,4.0,6.5,9.5,1400,4900,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
Andhra Pradesh,10,Kadapa,Emerging town,1100,3800,4.0,6.5,9.5,1400,4900,6,Medium,Industrial/logistics + services demand; validate specific micro-market job creation before buying.,"Road widening, ring-road/highway access, airport/rail improvements, urban expansion and state industrial corridors where applicable.","Existing city economy, current highway/rail connectivity, active residential plotted layouts in peripheral belts where land is available.","Bypass/ring-road upgrades, industrial parks/logistics nodes, transit/airport upgrades, water and sewerage expansion where sanctioned.","Long-range economic corridor spillover, greenfield logistics/industrial nodes, metro/rapid transit proposals in larger metros, and planned urban extensions.","Check title chain, conversion, local development authority approval, RERA applicability, flood/CRZ/forest restrictions, access road width, and assured water source.","Shortlist only if water, title, and approval quality clear the filter; use as a comparative screener, not a buy recommendation."
