area_id,state_ut,city_town,rank_in_city,area_name,area_basis,price_low_psf,price_high_psf,bear_cagr_pct,base_cagr_pct,bull_cagr_pct,water_score,water_risk_label,development_score,liquidity_score,developer_score,overall_score,confidence_grade,source_type,source_reliability,verification_status,source_url,live_developments,in_progress_developments,planned_developments,investment_thesis,risk_1,risk_2,risk_3,last_refreshed_at
AND_VISA_01,Andhra Pradesh,Visakhapatnam,1,Visakhapatnam Airport corridor,SEED - replace/refresh with discovered candidates,6995,10282,2.7,5.7,9.2,74,Lower,68,81,39,59,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam Airport corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_02,Andhra Pradesh,Visakhapatnam,2,Visakhapatnam Outer ring road fringe,SEED - replace/refresh with discovered candidates,6263,9958,7.699999999999999,10.7,14.2,84,Lower,57,81,85,73,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam Outer ring road fringe is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_03,Andhra Pradesh,Visakhapatnam,3,Visakhapatnam Industrial estate belt,SEED - replace/refresh with discovered candidates,2736,4678,8.0,11.0,14.5,80,Lower,68,89,38,69,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam Industrial estate belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_04,Andhra Pradesh,Visakhapatnam,4,Visakhapatnam New township zone,SEED - replace/refresh with discovered candidates,3772,6902,6.4,9.4,12.9,78,Lower,73,53,71,66,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam New township zone is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_05,Andhra Pradesh,Visakhapatnam,5,Visakhapatnam University/education cluster,SEED - replace/refresh with discovered candidates,4635,6257,10.3,13.3,16.8,44,High,75,94,74,71,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam University/education cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_06,Andhra Pradesh,Visakhapatnam,6,Visakhapatnam Logistics corridor,SEED - replace/refresh with discovered candidates,6935,10194,5.300000000000001,8.3,11.8,71,Lower,47,39,85,58,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam Logistics corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_07,Andhra Pradesh,Visakhapatnam,7,Visakhapatnam Metro/proposed transit node,SEED - replace/refresh with discovered candidates,2121,3372,2.9000000000000004,5.9,9.4,80,Lower,66,75,48,61,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam Metro/proposed transit node is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_08,Andhra Pradesh,Visakhapatnam,8,Visakhapatnam Highway growth belt,SEED - replace/refresh with discovered candidates,3248,5554,8.3,11.3,14.8,61,Moderate,85,67,35,64,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam Highway growth belt is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_09,Andhra Pradesh,Visakhapatnam,9,Visakhapatnam Emerging residential extension,SEED - replace/refresh with discovered candidates,5572,10196,5.300000000000001,8.3,11.8,70,Lower,77,84,35,63,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam Emerging residential extension is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VISA_10,Andhra Pradesh,Visakhapatnam,10,Visakhapatnam Peripheral village cluster,SEED - replace/refresh with discovered candidates,6028,8137,8.6,11.6,15.1,42,High,89,58,45,60,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Visakhapatnam Peripheral village cluster is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
AND_VIJA_01,Andhra Pradesh,Vijayawada,1,Vijayawada Airport corridor,SEED - replace/refresh with discovered candidates,5179,7613,3.5999999999999996,6.6,10.1,79,Lower,59,87,94,70,D,MODEL,35,seed_model,Seed assumption; use refresh/import to replace with evidence,Existing city employment and local access network,Check state/city infra pipeline and planning authority updates,Potential corridor upgrades; validate before investment,Vijayawada Airport corridor is included as a seed area for comparative screening. Use refresh/import evidence before treating it as a recommendation.,Water availability and tanker dependence need local verification,"Title, conversion, layout approval and access road status must be checked",Portal prices may reflect asking prices rather than closed transactions,Never
